accessibility,address,elevator,facade,floor,floor_heating,furnished,garage,garden,glazing,living_surface,locality_name,number_baths,number_garage,number_rooms,postal_code,price,project_url,property_id,property_type,property_url,state,swimming_pool,terrace
0,Baljuwstraat,0,,,0,0,1,1,,156,Dentergem,1,,3,8720,343300,https://immovlan.be/en/projectdetail/24431-p-vk2192-qcoizcun,RBU40675,Residence,https://immovlan.be/en/detail/residence/for-sale/8720/dentergem/rbu40675,,0,0
0,Witbierstraat,0,,,0,0,1,1,,186,Dentergem,1,,3,8720,340800,https://immovlan.be/en/projectdetail/24431-p-vk2192-qcoizcun,RBU40669,Residence,https://immovlan.be/en/detail/residence/for-sale/8720/dentergem/rbu40669,,0,0
0,Witbierstraat,0,,,0,0,1,1,,186,Dentergem,1,,3,8720,338500,https://immovlan.be/en/projectdetail/24431-p-vk2192-qcoizcun,RBU40668,Residence,https://immovlan.be/en/detail/residence/for-sale/8720/dentergem/rbu40668,,0,0
0,Baljuwstraat,0,,,0,0,0,1,,144,Dentergem,1,,3,8720,337800,https://immovlan.be/en/projectdetail/24431-p-vk2192-qcoizcun,RBU40671,Residence,https://immovlan.be/en/detail/residence/for-sale/8720/dentergem/rbu40671,,0,0
0,Baljuwstraat,0,,,0,0,0,1,,143,Dentergem,1,,3,8720,335500,https://immovlan.be/en/projectdetail/24431-p-vk2192-qcoizcun,RBU40673,Residence,https://immovlan.be/en/detail/residence/for-sale/8720/dentergem/rbu40673,,0,0
0,Baljuwstraat,0,,,0,0,0,1,,149,Dentergem,1,,3,8720,333500,https://immovlan.be/en/projectdetail/24431-p-vk2192-qcoizcun,RBU40672,Residence,https://immovlan.be/en/detail/residence/for-sale/8720/dentergem/rbu40672,,0,0
0,Dorpsstraat 23,1,2,4,0,0,1,0,,95,Diepenbeek,1,,2,3590,279725,https://immovlan.be/en/projectdetail/2905433-rmg01424715_om_263712,RBU31957,Duplex,https://immovlan.be/en/detail/duplex/for-sale/3590/diepenbeek/rbu31957,New,0,1
0,Dorpsstraat 23,1,2,4,0,0,1,0,,157,Diepenbeek,1,,3,3590,464620,https://immovlan.be/en/projectdetail/2905433-rmg01424715_om_263712,RBU31955,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3590/diepenbeek/rbu31955,New,0,1
0,Dorpsstraat 23,1,2,4,0,0,1,0,,157,Diepenbeek,1,,3,3590,464260,https://immovlan.be/en/projectdetail/2905433-rmg01424715_om_263712,RBU31956,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3590/diepenbeek/rbu31956,New,0,1
0,Halifaxstraat,0,,,0,0,0,1,,159,Nieuwpoort,1,,3,8620,387000,https://immovlan.be/en/projectdetail/24431-p-vk2184-8at86gmj,RBU13324,Residence,https://immovlan.be/en/detail/residence/for-sale/8620/nieuwpoort/rbu13324,,0,0
0,Halifaxstraat,0,,,0,0,0,1,,158,Nieuwpoort,1,,3,8620,386800,https://immovlan.be/en/projectdetail/24431-p-vk2184-8at86gmj,RBU13326,Residence,https://immovlan.be/en/detail/residence/for-sale/8620/nieuwpoort/rbu13326,,0,0
0,Halifaxstraat,0,,,0,0,1,1,,172,Ramskapelle,1,,3,8620,356200,https://immovlan.be/en/projectdetail/24431-p-vk2184-8at86gmj,RBU13320,Residence,https://immovlan.be/en/detail/residence/for-sale/8620/ramskapelle/rbu13320,,0,0
0,Halifaxstraat,0,,,0,0,0,1,,160,Ramskapelle,1,,3,8620,355400,https://immovlan.be/en/projectdetail/24431-p-vk2184-8at86gmj,RBU13318,Residence,https://immovlan.be/en/detail/residence/for-sale/8620/ramskapelle/rbu13318,,0,0
0,Lembergsesteenweg 59,0,,,0,0,0,0,,156,Merelbeke,1,,3,9820,645900,https://immovlan.be/en/projectdetail/24431-p-vk2227-etfrz02k,RBU09072,Apartment,https://immovlan.be/en/detail/apartment/for-sale/9820/merelbeke/rbu09072,,0,1
0,,0,3,,1,0,1,1,,154,,,1,3,,,https://immovlan.be/en/projectdetail/2950353-5822725,VBA96185,Residence,https://immovlan.be/en/detail/residence/for-sale/6530/thuin/vba96185,,0,0
0,Waaiberglaan 5-7,0,,,0,0,0,1,,166,Aarsele,1,,4,8700,393000,https://immovlan.be/en/projectdetail/24431-p-vk2250-9gucv2na,RBU38594,Residence,https://immovlan.be/en/detail/residence/for-sale/8700/aarsele/rbu38594,,0,0
0,,0,,,0,0,0,0,,146,,,,3,,,https://immovlan.be/en/projectdetail/2950353-6324162,VBC69809,Apartment,https://immovlan.be/en/detail/apartment/for-sale/6280/loverval/vbc69809,,0,1
